Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA,CE8.PA,COMO.PA,FR0010527275,LSPU.L,NRJ.PA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-11,489.0278015136719,20.506999969482422,58.69599914550781,46.45741271972656,26.16900062561035,489.0278015136719,20.506999969482422,59.20600128173828,47.529998779296875,26.388999938964844,489.08758544921875,20.658000946044922,59.20600128173828,47.567501068115234,26.469999313354492,487.0067138671875,20.5,58.67499923706055,47.452999114990234,26.23200035095215,487.0067138671875,20.652000427246094,58.816001892089844,47.4900016784668,26.441999435424805,78.0,15554.0,4458.0,311653.0,2946.0
2023-12-12,488.6629943847656,20.351999282836914,58.58700180053711,46.66975402832031,25.750999450683594,488.6629943847656,20.351999282836914,58.58700180053711,47.255001068115234,25.750999450683594,488.6271057128906,20.667999267578125,58.64799880981445,47.314998626708984,26.240999221801758,487.9559020996094,20.329999923706055,58.33700180053711,47.1875,25.750999450683594,487.9559020996094,20.618999481201172,58.64799880981445,47.26499938964844,26.176000595092773,330.0,10896.0,6001.0,238485.0,9950.0
2023-12-13,492.214599609375,20.424999237060547,58.68899917602539,46.919124603271484,25.80900001525879,492.214599609375,20.424999237060547,58.68899917602539,47.50749969482422,25.80900001525879,499.9999084472656,20.424999237060547,58.854000091552734,47.522499084472656,25.851999282836914,492.214599609375,20.17799949645996,58.680999755859375,47.467498779296875,25.73699951171875,499.9999084472656,20.184999465942383,58.707000732421875,47.52000045776367,25.753999710083008,2.0,6347.0,2632.0,18936.0,5157.0
2023-12-14,490.2152099609375,20.71500015258789,59.183998107910156,47.64008331298828,27.347000122070312,490.2152099609375,20.71500015258789,59.183998107910156,48.23749923706055,27.347000122070312,514.9998779296875,20.798999786376953,59.53200149536133,48.310001373291016,27.451000213623047,490.2152099609375,20.584999084472656,59.183998107910156,48.192501068115234,26.798999786376953,514.9998779296875,20.584999084472656,59.42100143432617,48.224998474121094,26.90399932861328,137.0,7804.0,3019.0,8454.0,15244.0
2023-12-15,493.9847106933594,20.996000289916992,59.388999938964844,47.67094421386719,27.695999145507812,493.9847106933594,20.996000289916992,59.388999938964844,48.26874923706055,27.695999145507812,494.2550964355469,20.996000289916992,59.768001556396484,48.342498779296875,27.854999542236328,494.2550964355469,20.785999298095703,59.319000244140625,48.220001220703125,27.468000411987305,494.2550964355469,20.785999298095703,59.527000427246094,48.342498779296875,27.599000930786133,32.0,20862.0,4792.0,2559.0,20190.0
2023-12-18,494.76190185546875,21.11400032043457,58.93199920654297,47.849952697753906,27.273000717163086,494.76190185546875,21.11400032043457,58.93199920654297,48.45000076293945,27.273000717163086,493.35791015625,21.229999542236328,59.32099914550781,48.45000076293945,27.639999389648438,493.35791015625,20.940000534057617,58.888999938964844,48.25749969482422,27.239999771118164,493.35791015625,21.030000686645508,59.12099838256836,48.290000915527344,27.59000015258789,0.0,8241.0,3328.0,36288.0,10196.0
2023-12-19,495.1588134765625,21.159000396728516,59.374000549316406,48.03759765625,27.610000610351562,495.1588134765625,21.159000396728516,59.374000549316406,48.63999938964844,27.610000610351562,495.7102966308594,21.159000396728516,59.395999908447266,48.63999938964844,27.71500015258789,494.7665100097656,20.93199920654297,59.23099899291992,48.4474983215332,27.336000442504883,495.09820556640625,20.986000061035156,59.34299850463867,48.45000076293945,27.349000930786133,1350.0,5234.0,15329.0,26596.0,14461.0
2023-12-20,496.58551025390625,21.170000076293945,59.66999816894531,48.16475296020508,27.64900016784668,496.58551025390625,21.170000076293945,59.66999816894531,48.76874923706055,27.64900016784668,496.25360107421875,21.332000732421875,59.70800018310547,48.79499816894531,27.898000717163086,496.0730895996094,21.100000381469727,59.42499923706055,48.619998931884766,27.64900016784668,496.2441101074219,21.246000289916992,59.4739990234375,48.650001525878906,27.797000885009766,106.0,4176.0,4570.0,6939.0,7145.0
